改正時期,改正種別,改正前CPC,改正後CPC,改正前標題,改正後標題,資料種別
2023.01,,H04N 1/00336,H04N 1/00336,"{with an apparatus performing pattern recognition, e.g. of a face or a geographic feature (arrangements for recognising patterns G06K9/00image or video recognition or understanding of scenes G06V20/00)}","{with an apparatus performing pattern recognition, e.g. of a face or a geographic feature (arrangements for recognising patterns G06K9/00image or video recognition or understanding of scenes G06V20/00)}",Compilation of Changes
2023.01,U,H04N 1/0035,H04N 1/0035,{User-machine interface; Control console (input or output arrangements for computers G06F3/00)},{User-machine interface; Control console (input or output arrangements for computers G06F3/00)},Compilation of Changes
2023.01,U,H04N 1/00352,H04N 1/00352,{Input means (H04N1/00411 takes precedence; input arrangements for computers G06F3/00)},{Input means (H04N1/00411 takes precedence; input arrangements for computers G06F3/00)},Compilation of Changes
2023.01,,H04N 1/00355,H04N 1/00355,{Mark-sheet input (sensing record carriers G06K7/00; recognising printed or written characters G06K9/00; character recognition G06V30/10; document-oriented image-based pattern recognition G06V30/40)},{Mark-sheet input (sensing record carriers G06K7/00; recognising printed or written characters G06K9/00; character recognition G06V30/10; document-oriented image-based pattern recognition G06V30/40)},Compilation of Changes
2023.01,U,H04N 1/00838,H04N 1/00838,{Preventing unauthorised reproduction},{Preventing unauthorised reproduction},Compilation of Changes
2023.01,U,H04N 1/0084,H04N 1/0084,{Determining the necessity for prevention},{Determining the necessity for prevention},Compilation of Changes
2023.01,,H04N 1/00843,H04N 1/00843,"{based on recognising a copy prohibited original, e.g. a banknote (recognising characters or patterns G06K9/00; pattern authentication and markers therefor, forgery detection G06V20/95; character recognition G06V30/10; document-oriented image-based pattern recognition G06V30/40; testing paper currency or similar valuable papers for genuineness G07D7/00)}","{based on recognising a copy prohibited original, e.g. a banknote (recognising characters or patterns G06K9/00; pattern authentication and markers therefor, forgery detection G06V20/95; character recognition G06V30/10; document-oriented image-based pattern recognition G06V30/40; testing paper currency or similar valuable papers for genuineness G07D7/00)}",Compilation of Changes
2023.01,U,H04N 1/46,H04N 1/46,Colour picture communication systems,Colour picture communication systems,Compilation of Changes
2023.01,U,H04N 1/56,H04N 1/56,Processing of colour picture signals (H04N1/52 takes precedence),Processing of colour picture signals (H04N1/52 takes precedence),Compilation of Changes
2023.01,U,H04N 1/06,H04N 1/06,Colour correction or control {(H04N1/54 takes precedence)},Colour correction or control {(H04N1/54 takes precedence)},Compilation of Changes
2023.01,U,H04N 1/62,H04N 1/62,"Retouching, i.e. modification of isolated colours only or in isolated picture areas only","Retouching, i.e. modification of isolated colours only or in isolated picture areas only",Compilation of Changes
2023.01,,H04N 1/624,H04N 1/624,{Red-eye correction (control of camera based on recognised facial parts H04N5/23219H04N23/611)},{Red-eye correction (control of camera based on recognised facial parts H04N5/23219H04N23/611)},Compilation of Changes
2023.01,U,H04N 3/00,H04N 3/00,Scanning details of television systems; Combination thereof with generation of supply voltages,Scanning details of television systems; Combination thereof with generation of supply voltages,Compilation of Changes
2023.01,U,H04N 3/01,H04N 3/01,by means not exclusively optical-mechanical (H04N3/36 takes precedence),by means not exclusively optical-mechanical (H04N3/36 takes precedence),Compilation of Changes
2023.01,,H04N 3/14,H04N 3/14,by means of electrically scanned solid-state devices (for picture generation H04N5/335H04N25/00),by means of electrically scanned solid-state devices (for picture generation H04N5/335H04N25/00),Compilation of Changes
2023.01,,H04N 3/15,H04N 3/15,{for picture signal generation},{for picture signal generation},Compilation of Changes
2023.01,U,H04N 3/155,H04N 3/155,"{Control of the image-sensor operation, e.g. image processing within the image-sensor}","{Control of the image-sensor operation, e.g. image processing within the image-sensor}",Compilation of Changes
2023.01,,H04N 3/1568,H04N 3/1568,"{for disturbance correction or prevention within the image-sensor, e.g. biasing, blooming, smearing (correction circuits H04N5/2175H04N25/62)}","{for disturbance correction or prevention within the image-sensor, e.g. biasing, blooming, smearing (correction circuits H04N5/2175H04N25/62)}",Compilation of Changes
2023.01,U,H04N 5/00,H04N 5/00,Details of television systems (scanning details or combination thereof with generation of supply voltages H04N3/00),Details of television systems (scanning details or combination thereof with generation of supply voltages H04N3/00),Compilation of Changes
2023.01,M,H04N 5/14,H04N 5/14,"Picture signal circuitry for video frequency region (H04N5/222 takes precedencecameras or camera modules comprising electronic image sensors, or control thereof H04N23/00)","Picture signal circuitry for video frequency region (H04N5/222 takes precedencecameras or camera modules comprising electronic image sensors, or control thereof H04N23/00)",Compilation of Changes
2023.01,U,H04N 5/02,H04N 5/02,Circuitry for controlling amplitude response,Circuitry for controlling amplitude response,Compilation of Changes
2023.01,C,H04N 5/202,H04N 5/202,Gamma control (circuits for controlling camera response irrespective of the scene brightness H04N23/82),Gamma control (circuits for controlling camera response irrespective of the scene brightness H04N23/82),Compilation of Changes
2023.01,U,H04N 5/21,H04N 5/21,"Circuitry for suppressing or minimising disturbance, e.g. moiré or halo","Circuitry for suppressing or minimising disturbance, e.g. moiré or halo",Compilation of Changes
2023.01,,H04N 5/211,H04N 5/211,{Ghost signal cancellation (H04N5/217H04N23/81 takes precedence)},{Ghost signal cancellation (H04N5/217H04N23/81 takes precedence)},Compilation of Changes
