改正時期,改正種別,改正前CPC,改正後CPC,改正前標題,改正後標題,資料種別
2013.09,M,B65F 2250/107,B65F 2250/107,,Glass,Scheme XML差分（推定）
2013.09,M,B65F 2250/108,B65F 2250/108,,Paper,Scheme XML差分（推定）
2013.09,M,B65F 2250/11,B65F 2250/11,,Metal,Scheme XML差分（推定）
2013.09,M,B65F 2250/111,B65F 2250/111,,Aluminum,Scheme XML差分（推定）
2013.09,M,B65F 2250/112,B65F 2250/112,,Steel,Scheme XML差分（推定）
2013.09,M,B65F 2250/114,B65F 2250/114,,Plastics,Scheme XML差分（推定）
2013.09,M,B65F 2250/1143,B65F 2250/1143,,Polyethylene,Scheme XML差分（推定）
2013.09,M,B65F 2250/1146,B65F 2250/1146,,Polypropylene,Scheme XML差分（推定）
2013.09,M,B65F 2250/116,B65F 2250/116,,Recycled material,Scheme XML差分（推定）
2013.09,M,B65F 2250/12,B65F 2250/12,,Rubber,Scheme XML差分（推定）
2013.09,M,B65F 2250/128,B65F 2250/128,,Wood,Scheme XML差分（推定）
2013.09,M,G06K 2207/00,G06K 2207/00,,Other aspects,Scheme XML差分（推定）
2013.09,M,G06K 2207/1011,G06K 2207/1011,,Aiming,Scheme XML差分（推定）
2013.09,M,G06K 2207/1012,G06K 2207/1012,,Special detection of object,Scheme XML差分（推定）
2013.09,M,G06K 2207/1013,G06K 2207/1013,,Multi-focal,Scheme XML差分（推定）
2013.09,M,G06K 2207/1015,G06K 2207/1015,,Hologram,Scheme XML差分（推定）
2013.09,M,G06K 2207/1016,G06K 2207/1016,,Motor control or optical moving unit control,Scheme XML差分（推定）
2013.09,M,G06K 2207/1017,G06K 2207/1017,,Programmable,Scheme XML差分（推定）
2013.09,M,G06K 2207/1018,G06K 2207/1018,,Source control,Scheme XML差分（推定）
2013.09,M,G08B 3/1008,G08B 3/1008,,"Personal calling arrangements
                                        or devices, i.e. paging systems telephonic systems with personal calling
                                            arrangements
                                            H04M11/022;
                                            selective calling systems and call receivers
                                            H04W84/00,
                                            H04W84/00,
                                            H04W68/00",Scheme XML差分（推定）
2013.09,M,G08B 3/1083,G08B 3/1083,,"Pager locating systems
                                                  locating
                                                  mobile subscribers in general
                                                  H04W64/00",Scheme XML差分（推定）
2013.09,M,G08B 5/222,G08B 5/222,,"Personal calling arrangements
                                        or devices, i.e. paging systems selective calling systems and call
                                            receivers H04W84/00,
                                            H04W84/00,
                                            H04W68/00",Scheme XML差分（推定）
2013.09,M,H04B 1/1615,H04B 1/1615,,"Switching on; Switching off, e.g.
                                                remotely
                                            
                                                 battery saving circuits
                                                  associated with selective call operation
                                                  H04W52/00 ;
                                                  details of power consumption reduction in a PLL,
                                                  H03L7/0802 ,
                                                  H03L7/14 ,
                                                  H03L2207/08 ,
                                                  H03L2207/18 ;
                                                  muting amplifiers by gain control see
                                                  H03G3/34",Scheme XML差分（推定）
2013.09,M,H04B 1/38,H04B 1/38,,"Transceivers, i.e. devices in which transmitter and
                                receiver form a structural unit and in which at least one part is
                                used for functions of transmitting and receiving
                            
                                
                                     construction of portable transceivers
                                        H04B1/034 ; specially
                                        adapted to be fitted into airplanes
                                        B64D43/00 ; paging
                                        systems G08B3/10 ;
                                        traffic between a small number of stations with amplifiers
                                        or loudspeakers H04M9/00
                                        A; selecting arrangements for radio-calling systems
                                        H04W ; wireless
                                        communication networks
                                        H04W",Scheme XML差分（推定）
2013.09,M,H04B 7/1853,H04B 7/1853,,"Satellite systems for providing
                                                telephony service to a mobile station, i.e. mobile
                                                satellite service
                                            
                                                 for selecting
                                                  H04W",Scheme XML差分（推定）
2013.09,M,H04B 7/18576,H04B 7/18576,,"Satellite systems for providing
                                                narrowband data service to fixed or mobile stations,
                                                e.g. using a minisatellite, a microsatellite
                                            
                                                 for selecting
                                                  H04W",Scheme XML差分（推定）
2013.09,M,H04B 7/18578,H04B 7/18578,,"Satellite systems for providing
                                                broadband data service to individual earth
                                                stations
                                            
                                                 for selecting
                                                  H04W ;
                                                  provisions for broadband connection,
                                                  H04Q11/0478",Scheme XML差分（推定）
2013.09,M,H04B 7/24,H04B 7/24,,"for communication between two or more posts
                            
                                 for selecting
                                    H04W ; 
                                
                                    wireless communication networks
                                        H04W",Scheme XML差分（推定）
2013.09,M,H04B 2001/38,H04B 2001/38,,"Transceivers, i.e. devices in which transmitter and
                                receiver form a structural unit and in which at least one part is
                                used for functions of transmitting and receiving
                            
                                
                                     construction of portable transceivers
                                        H04B1/034 ; specially
                                        adapted to be fitted into airplanes
                                        B64D43/00 ; paging
                                        systems G08B3/10 ;
                                        traffic between a small number of stations with amplifiers
                                        or loudspeakers H04M9/00
                                        A; selecting arrangements for radio-calling systems
                                        H04W ; wireless
                                        communication networks
                                        H04W",Scheme XML差分（推定）
2013.09,M,H04M 1/733,H04M 1/733,,"with a plurality of base stations connected
                                        to a plurality of lines 
                                    for selection
                                                in cordless PBX
                                                H04W84/16",Scheme XML差分（推定）
2013.09,M,H04M 11/022,H04M 11/022,,"Paging systems
                                            personal calling
                                            arrangements or devices
                                            G08B3/1008;
                                            selective calling networks
                                            H04W84/022",Scheme XML差分（推定）
2013.09,M,H04N 1/00307,H04N 1/00307,,"with a mobile telephone apparatus
                                        
                                             constructional features of portable
                                                telephone sets
                                                H04M1/02 A;
                                                mobile radio systems
                                                H04W84/00",Scheme XML差分（推定）
2013.09,M,H04N 7/26941,H04N 7/26941,,"Transcoding therefor, i.e. conversion of
                                            video data, coding parameters, syntax or the like in
                                            order to realise interoperability between different
                                            video coding standards
                                        
                                             Transcoding for telecommunication
                                                protocol
                                                H04L29/06 ;
                                                Transcoding for mobile radio systems
                                                H04W88/181 ;
                                                Conversion of standards for analog television, e.g.
                                                PAL, SECAM or NTSC
                                                H04N7/01 ;
                                                Reformatting video signals for video conference
                                                systems
                                                H04N7/152 ;
                                                Multimodal adaptation
                                                H04N21/00 ;
                                                Distillation of HTML documents for optimising th
                                                visualization of content
                                                G06F17/30905 ;
                                                File format conversion
                                                G06F17/30005",Scheme XML差分（推定）
